nombre,opt_gurobi,obj_gurobi,time_gurobi,opt_scip,obj_scip,time_scip,opt_roundingsat,obj_roundingsat,time_roundingsat,opt_rs_default,obj_rs_default,time_rs_default,opt_mixed-bag,obj_mixed-bag,time_mixed-bag,opt_naps,obj_naps,time_naps,min,max,vbs,opt_vbs,obj_vbs
normalized-BA_RDC4.dot_unif_20null50mast_rapportOE2.0_TMAX180_K67_cod2_pbEq1_newVersion_binary.opb,0,0.0,3600.04,0,0.2151884576669276,3600.01,0,0.0097677366439249,2404.35,0,0.0710211385751034,1526.86,0,0.4459232748014763,3600.0,0,1.0,1477.620615,-31784.0,-4961.0,0.0,0,0.0
normalized-comppebvc_opt_110.opb,0,0.0,3600.01,0,0.0,3600.0,0,1.0,3285.04,1,0.0,610.871,0,2.0,,1,0.0,0.928171,6161.0,6753.0,0.0,1,0.0
normalized-BA_RDC4.dot_fibo_50null0mast_rapportOE1.0_TMAX180_K67_cod2.opb,0,0.0,3600.0,0,0.0507721931858372,3600.03,0,0.0895586906118599,2747.84,0,0.0969662435650567,3066.14,0,0.4449640429127205,3600.0,0,1.0,557.841562,-159920.0,-109026.0,0.0,0,0.0
normalized-NG.dot_fibo_0null10mast_rapportOE2.0_TMAX120_K192_cod2.opb,0,0.0064565948638333,3600.59,0,2.0,,0,0.0,3304.67,0,0.0611577398279319,3565.59,0,2.0,,0,1.0,31.895227,-247344.0,0.0,0.0,0,0.0
normalized-NG.dot_fibo_50null10mast_rapportOE2.0_TMAX15_K192_cod2.opb,1,0.0,159.58,1,0.0,2112.42,1,0.0,1324.58,1,0.0,1216.62,1,0.0,472.885,0,1.0,32.693566,-32838.0,0.0,0.0,1,0.0
normalized-BA_RDC4.dot_luby_50null10mast_rapportOE2.0_TMAX180_K67_cod2_pbEq1_newVersion_ladder.opb,0,0.0,3600.01,1,0.0,638.53,0,0.79375,3599.46,0,1.0,1957.99,0,0.0203125,3593.98,0,0.09375,2965.972828,-4128.0,-2848.0,0.0,1,0.0
normalized-NG.dot_luby_0null10mast_rapportOE2.0_TMAX120_K192_cod1.opb,1,0.0,2225.4,0,0.0054945054945054,3436.0,0,0.903073489010989,1162.6,0,0.9931318681318682,1528.07,0,2.0,,0,1.0,95.511789,-11648.0,0.0,0.0,1,0.0
normalized-BA_RDC4.dot_luby_10null0mast_rapportOE2.0_TMAX15_K67_cod2_pbEq1_newVersion_binary.opb,1,0.0,77.57,1,0.0,489.11,1,0.0,251.751,1,0.0,65.2675,1,0.0,322.481,1,0.0,547.726354,-72.0,-72.0,0.0,1,0.0
normalized-BA_RDC4.dot_luby_10null0mast_rapportOE1.0_TMAX120_K67_cod2_pbEq1_newVersion_product.opb,0,0.0217391304347826,3600.01,0,0.1630434782608695,3600.0,0,0.0,1206.64,0,0.0760869565217391,2845.95,0,0.3043478260869565,3600.01,0,1.0,2.603769,-736.0,0.0,0.0,0,0.0
normalized-BA_RDC4.dot_fibo_50null50mast_rapportOE1.0_TMAX180_K67_cod2_pbEq1_newVersion.opb,1,0.0,36.78,1,0.0,263.87,1,0.0,1011.42,1,0.0,147.503,1,0.0,238.86,0,1.0,1309.403994,-33.0,-31.0,0.0,1,0.0
normalized-NG.dot_luby_20null10mast_rapportOE2.0_TMAX15_K192_cod2.opb,1,0.0,245.6,1,0.0,2837.37,1,0.0,2174.72,1,0.0,1359.27,1,0.0,875.013,0,1.0,33.351796,-1152.0,0.0,0.0,1,0.0
Init-x2-i5_pp_85.opb,0,2.0,,0,2.0,,1,0.0,220.116,1,0.0,56.1133,1,0.0,1610.72,0,2.0,,688.0,688.0,0.0,1,0.0
normalized-j12026_4.std.opb,0,1.0,3600.01,0,2.0,,0,0.01,352.333,0,0.0,2753.75,0,2.0,,0,0.01,437.733942,174.0,274.0,0.0,0,0.0
normalized-BA_RDC4.dot_luby_0null0mast_rapportOE1.0_TMAX15_K67_cod2_pbEq1_newVersion_product.opb,1,0.0,27.64,1,0.0,388.27,1,0.0,28.9395,1,0.0,94.3596,1,0.0,241.03,1,0.0,111.422856,-200.0,-200.0,0.0,1,0.0
normalized-BA_RDC4.dot_fibo_0null20mast_rapportOE2.0_TMAX60_K67_cod2.opb,0,0.0,3600.0,0,0.0241775543881428,3600.0,0,0.0,538.779,0,0.0,3423.93,0,0.2980182580654928,3600.01,0,1.0,115.678316,-74415.0,-8362.0,0.0,0,0.0
normalized-NG.dot_unif_50null10mast_rapportOE1.0_TMAX180_K192_cod1.opb,0,2.0,,0,2.0,,0,0.0,2988.5,0,0.0258379734577546,562.661,0,1.0,3361.06,0,2.0,,-47435.0,-1998.0,0.0,0,0.0
normalized-BA_RDC4.dot_luby_10null50mast_rapportOE2.0_TMAX15_K67_cod2_pbEq1_newVersion_sequential.opb,1,0.0,23.35,0,1.0,3600.0,1,0.0,506.208,1,0.0,297.157,1,0.0,379.096,1,0.0,129.822618,-48.0,-24.0,0.0,1,0.0
normalized-j12027_8.std.opb,0,0.9363057324840764,3600.04,0,1.0,3548.0,0,0.019108280254777,401.98,0,0.0,2916.95,0,2.0,,0,0.0063694267515923,89.583251,143.0,300.0,0.0,0,0.0
normalized-BA_RDC4.dot_unif_20null0mast_rapportOE2.0_TMAX120_K67_cod3.opb,0,0.0,3600.0,0,0.0194454447245228,3600.01,0,0.1917236826311367,1815.61,0,0.3836874324810947,1284.48,0,0.440553354939383,3600.01,0,1.0,17.323433,-33324.0,0.0,0.0,0,0.0
normalized-BA_RDC4.dot_luby_10null50mast_rapportOE1.0_TMAX120_K67_cod2_pbEq1_newVersion_product.opb,1,0.0,1035.77,1,0.0,1758.81,1,0.0,67.1587,1,0.0,325.08,1,0.0,431.983,0,1.0,475.534298,-5638.0,-8.0,0.0,1,0.0
normalized-BA_RDC4.dot_fibo_50null20mast_rapportOE2.0_TMAX60_K67_cod2_pbEq1_newVersion_sequential.opb,0,0.0,3600.01,0,0.0450849705133126,3600.0,0,0.0623058938479254,3352.62,0,0.0,3365.12,0,1.0,3600.03,0,0.0450849705133126,553.350919,-57314.0,0.0,0.0,0,0.0
normalized-BA_RDC4.dot_luby_10null50mast_rapportOE1.0_TMAX300_K67_cod2_pbEq1_newVersion_ladder.opb,0,0.0,3600.01,1,0.0,999.34,0,0.1395348837209302,2409.07,0,0.1759233926128591,2323.7,1,0.0,3089.33,0,1.0,2.176566,-14620.0,0.0,0.0,1,0.0
normalized-BA_RDC4.dot_luby_50null20mast_rapportOE2.0_TMAX120_K67_cod2_pbEq1_newVersion_sequential.opb,1,0.0,35.93,1,0.0,2016.23,0,1.0,2800.82,1,0.0,141.489,1,0.0,452.082,0,0.0,690.106151,-2822.0,-2584.0,0.0,1,0.0
normalized-minisat15_4_4_3_mh_ic.opb,1,0.0,22.03,1,0.0,144.65,0,0.0,2378.48,1,0.0,570.483,1,0.0,134.43,0,1.0,400.150453,4323015.0,6202987.0,0.0,1,0.0
normalized-mps-v2-20-10-core2586-950.opb,0,0.0,3600.0,0,0.0505494505494505,3600.0,0,0.6791208791208792,2531.05,0,0.6307692307692307,3235.32,0,2.0,,0,1.0,1.471771,951.0,1406.0,0.0,0,0.0
normalized-BA_RDC4.dot_luby_20null0mast_rapportOE2.0_TMAX15_K67_cod1.opb,1,0.0,31.06,1,0.0,104.61,1,0.0,123.811,1,0.0,233.526,1,0.0,127.57,0,1.0,57.500832,-132.0,-1.0,0.0,1,0.0
normalized-mps-v2-20-10-markshare2_1.opb,0,0.0005690594260629,3600.0,0,0.0022762377042516,3600.0,0,0.0,3507.47,0,0.0032517681489309,319.979,0,0.0108121290951955,3600.0,0,1.0,1772.878222,79.0,12380.0,0.0,0,0.0
normalized-NG.dot_unif_0null50mast_rapportOE1.0_TMAX180_K192_cod2.opb,0,0.0,3600.03,0,2.0,,0,0.7815336837075968,3185.06,0,0.5217988533205925,3323.07,0,0.5480649784997611,3600.22,0,1.0,32.85957,-83720.0,0.0,0.0,0,0.0
normalized-BA_RDC4.dot_unif_20null0mast_rapportOE2.0_TMAX15_K67_cod2_pbEq1_newVersion_ladder.opb,1,0.0,15.28,1,0.0,782.32,1,0.0,537.252,1,0.0,590.887,1,0.0,281.0,1,0.0,1507.991804,-3289.0,-3289.0,0.0,1,0.0
normalized-BA_RDC4.dot_unif_50null50mast_rapportOE1.0_TMAX180_K67_cod2.opb,1,0.0,15.59,1,0.0,230.98,1,0.0,601.073,1,0.0,238.025,1,0.0,154.16,0,1.0,1383.537981,-33.0,-11.0,0.0,1,0.0
normalized-NG.dot_fibo_20null50mast_rapportOE2.0_TMAX300_K192_cod2.opb,0,0.7228935778776061,3600.04,0,1.0,3600.12,0,0.8066527215106132,2602.53,0,0.4597711650295809,2284.44,0,0.0,3600.11,0,0.9705482084464804,3026.547701,-317434.0,0.0,0.0,0,0.0
normalized-BA_RDC4.dot_luby_20null50mast_rapportOE2.0_TMAX60_K67_cod2_pbEq1_newVersion_binary.opb,1,0.0,141.77,1,0.0,512.33,1,0.0,51.4071,1,0.0,104.012,1,0.0,415.506,0,0.0,2358.152199,-1312.0,-1312.0,0.0,1,0.0
normalized-BA_RDC4.dot_fibo_10null10mast_rapportOE1.0_TMAX120_K67_cod2_pbEq1_newVersion_product.opb,0,0.0,3600.01,1,0.0,3514.75,0,0.25,3024.03,0,0.2524798764127164,3484.82,0,0.4724977640458573,3600.0,0,1.0,2.264799,-245980.0,0.0,0.0,1,0.0
normalized-BA_RDC4.dot_luby_20null0mast_rapportOE1.0_TMAX120_K67_cod2_pbEq1_newVersion_ladder.opb,0,0.0,3600.02,0,0.6545454545454545,3600.0,0,0.509090909090909,262.782,0,0.4363636363636363,3466.11,0,1.0,3600.01,0,0.8090909090909091,1379.10436,-700.0,-480.0,0.0,0,0.0
normalized-BA_RDC4.dot_unif_20null0mast_rapportOE1.0_TMAX15_K67_cod2_pbEq1_newVersion_sequential.opb,1,0.0,17.62,1,0.0,1779.51,1,0.0,294.852,1,0.0,250.377,1,0.0,585.195,1,0.0,2384.352091,-4324.0,-4324.0,0.0,1,0.0
normalized-BA_RDC4.dot_unif_10null0mast_rapportOE1.0_TMAX300_K67_cod2_pbEq1_newVersion_sequential.opb,0,0.0,3600.01,0,1.0,3600.54,0,0.0112638794243796,2041.89,0,0.0747985729747063,3091.23,0,0.2789112919389105,3600.0,0,1.0,2.310578,-99788.0,0.0,0.0,0,0.0
normalized-BA_RDC4.dot_fibo_0null50mast_rapportOE2.0_TMAX120_K67_cod2_pbEq1_newVersion_sequential.opb,0,0.0,3600.01,0,0.0153127756683158,3588.0,0,0.3608042802899551,1359.17,0,0.4843612165842059,3376.68,0,0.0554021401449775,3600.0,0,1.0,478.442051,-126184.0,-21892.0,0.0,0,0.0
